Mean,Median,Std,Years,Month,grid,Date
19.85806451612903,21.5,3.297855282204722,1993.0,8.0,1993.5833333333333,1993-08
14.02,14.9,2.6143371283538883,1993.0,9.0,1993.6666666666667,1993-09
9.209677419354838,9.9,2.253346376497213,1993.0,10.0,1993.75,1993-10
3.9399999999999995,3.55,3.870364858502494,1993.0,11.0,1993.8333333333333,1993-11
4.674193548387097,5.4,3.486638088659378,1993.0,12.0,1993.9166666666667,1993-12
3.5032258064516135,3.2,2.9266002882716706,1994.0,1.0,1994.0,1994-01
3.917857142857142,3.8499999999999996,3.1688359320137045,1994.0,2.0,1994.0833333333333,1994-02
10.10645161290323,9.8,2.292296589866586,1994.0,3.0,1994.1666666666667,1994-03
8.196666666666665,7.5,4.061126337167655,1994.0,4.0,1994.25,1994-04
14.764516129032257,15.1,1.957472585946271,1994.0,5.0,1994.3333333333333,1994-05
18.016666666666662,18.5,3.756106139785367,1994.0,6.0,1994.4166666666667,1994-06
22.609677419354835,22.8,2.0807618538586095,1994.0,7.0,1994.5,1994-07
21.119354838709675,20.3,2.56533550175394,1994.0,8.0,1994.5833333333333,1994-08
15.079999999999997,15.7,3.284068124792155,1994.0,9.0,1994.6666666666667,1994-09
11.187096774193547,11.7,2.8759626719278857,1994.0,10.0,1994.75,1994-10
8.763333333333334,8.9,1.957211833430286,1994.0,11.0,1994.8333333333333,1994-11
4.812903225806452,4.7,3.412403057034135,1994.0,12.0,1994.9166666666667,1994-12
1.7838709677419355,2.7,4.369065252750947,1995.0,1.0,1995.0,1995-01
5.982142857142856,6.1,2.0296056123786568,1995.0,2.0,1995.0833333333333,1995-02
5.1258064516129025,4.9,2.635016475841658,1995.0,3.0,1995.1666666666667,1995-03
10.143333333333333,9.649999999999999,2.4351850929203738,1995.0,4.0,1995.25,1995-04
13.690322580645162,13.7,3.3054858280046804,1995.0,5.0,1995.3333333333333,1995-05
16.32,15.0,3.5341096523003865,1995.0,6.0,1995.4166666666667,1995-06
22.18064516129032,21.8,2.3854306885534258,1995.0,7.0,1995.5,1995-07
19.551612903225802,20.0,2.820268423128306,1995.0,8.0,1995.5833333333333,1995-08
13.430000000000001,13.6,2.0058792895231585,1995.0,9.0,1995.6666666666667,1995-09
13.909677419354841,14.4,1.9336243755720632,1995.0,10.0,1995.75,1995-10
5.623333333333333,4.9,3.1046887048499707,1995.0,11.0,1995.8333333333333,1995-11
2.5225806451612898,1.5,3.715975392582622,1995.0,12.0,1995.9166666666667,1995-12
2.7483870967741937,2.7,1.8683095688780518,1996.0,1.0,1996.0,1996-01
1.5275862068965516,1.7,2.4364635601221196,1996.0,2.0,1996.0833333333333,1996-02
4.767741935483871,3.8,3.6996744989052024,1996.0,3.0,1996.1666666666667,1996-03
10.1,10.6,3.7473668916573484,1996.0,4.0,1996.25,1996-04
13.748387096774191,13.8,3.0378579040437836,1996.0,5.0,1996.3333333333333,1996-05
18.449999999999996,18.6,3.0325532658709933,1996.0,6.0,1996.4166666666667,1996-06
18.787096774193547,19.4,2.856074454618188,1996.0,7.0,1996.5,1996-07
18.245161290322578,18.6,2.417000718476989,1996.0,8.0,1996.5833333333333,1996-08
12.789999999999997,12.55,1.6297556406639195,1996.0,9.0,1996.6666666666667,1996-09
10.687096774193547,10.7,1.8242335258922437,1996.0,10.0,1996.75,1996-10
5.833333333333333,5.85,3.3672185731758235,1996.0,11.0,1996.8333333333333,1996-11
2.267741935483871,3.3,3.6739068303169393,1996.0,12.0,1996.9166666666667,1996-12
0.6870967741935484,0.6,2.3200203929396643,1997.0,1.0,1997.0,1997-01
5.164285714285714,5.65,3.668808898015639,1997.0,2.0,1997.0833333333333,1997-02
7.8677419354838705,7.9,2.0336153514982773,1997.0,3.0,1997.1666666666667,1997-03
9.723333333333334,9.5,2.352061946951834,1997.0,4.0,1997.25,1997-04
14.535483870967745,14.9,3.023524255687588,1997.0,5.0,1997.3333333333333,1997-05
16.903333333333332,16.4,3.066108769842608,1997.0,6.0,1997.4166666666667,1997-06
18.258064516129032,18.5,2.2296149433700263,1997.0,7.0,1997.5,1997-07
20.864516129032257,21.5,2.3462805156384254,1997.0,8.0,1997.5833333333333,1997-08
16.736666666666668,16.3,2.615666768469975,1997.0,9.0,1997.6666666666667,1997-09
10.764516129032257,11.2,5.109243152502908,1997.0,10.0,1997.75,1997-10
6.143333333333332,5.65,2.4846679280426343,1997.0,11.0,1997.8333333333333,1997-11
3.5645161290322576,3.6,2.8963826159650443,1997.0,12.0,1997.9166666666667,1997-12
3.193548387096774,2.4,3.039729755956492,1998.0,1.0,1998.0,1998-01
4.017857142857143,3.8499999999999996,3.4133782084103705,1998.0,2.0,1998.0833333333333,1998-02
7.0838709677419365,7.5,3.179632764350159,1998.0,3.0,1998.1666666666667,1998-03
9.346666666666666,8.649999999999999,3.6570888491496496,1998.0,4.0,1998.25,1998-04
15.793548387096775,15.7,2.540201499077186,1998.0,5.0,1998.3333333333333,1998-05
