EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 05-10-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : daily Cloud cover in oktas
23-27 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, GENEVE COINTRIN (STAID: 240).
Blended and updated with sources: 105109 105114 906700 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   CC, Q_CC
105109,19020413,    7,    0
105109,19020414,    6,    0
105109,19020415,    7,    0
105109,19020416,    8,    0
105109,19020417,    8,    0
105109,19020418,    8,    0
105109,19020419,    3,    0
105109,19020420,    7,    0
105109,19020421,    2,    0
105109,19020422,    5,    0
105109,19020423,    8,    0
105109,19020424,    7,    0
105109,19020425,    4,    0
105109,19020426,    7,    0
105109,19020427,    5,    0
105109,19020428,    8,    0
105109,19020429,    5,    0
105109,19020430,    1,    0
105109,19020501,    8,    0
105109,19020502,    8,    0
105109,19020503,    7,    0
105109,19020504,    8,    0
105109,19020505,    5,    0
105109,19020506,    6,    0
105109,19020507,    8,    0
105109,19020508,    8,    0
105109,19020509,    8,    0
105109,19020510,    5,    0
105109,19020511,    6,    0
105109,19020512,    6,    0
105109,19020513,    7,    0
105109,19020514,    6,    0
105109,19020515,    6,    0
105109,19020516,    7,    0
105109,19020517,    8,    0
105109,19020518,    6,    0
105109,19020519,    7,    0
105109,19020520,    6,    0
105109,19020521,    3,    0
105109,19020522,    4,    0
105109,19020523,    3,    0
105109,19020524,    8,    0
105109,19020525,    3,    0
105109,19020526,    3,    0
105109,19020527,    1,    0
105109,19020528,    1,    0
105109,19020529,    1,    0
105109,19020530,    7,    0
105109,19020531,    6,    0
105109,19020601,    5,    0
105109,19020602,    2,    0
105109,19020603,    3,    0
105109,19020604,    5,    0
105109,19020605,    5,    0
105109,19020606,    3,    0
105109,19020607,    8,    0
105109,19020608,    6,    0
105109,19020609,    7,    0
105109,19020610,    8,    0
105109,19020611,    8,    0
105109,19020612,    5,    0
105109,19020613,    8,    0
105109,19020614,    7,    0
105109,19020615,    6,    0
105109,19020616,    8,    0
105109,19020617,    7,    0
105109,19020618,    4,    0
105109,19020619,    4,    0
105109,19020620,    8,    0
105109,19020621,    8,    0
105109,19020622,    1,    0
105109,19020623,    3,    0
105109,19020624,    2,    0
105109,19020625,    0,    0
105109,19020626,    0,    0
105109,19020627,    1,    0
105109,19020628,    5,    0
105109,19020629,    6,    0
105109,19020630,    2,    0
105109,19020701,    5,    0
105109,19020702,    5,    0
105109,19020703,    2,    0
105109,19020704,    0,    0
105109,19020705,    0,    0
105109,19020706,    0,    0
105109,19020707,    1,    0
105109,19020708,    0,    0
105109,19020709,    1,    0
105109,19020710,    7,    0
105109,19020711,    2,    0
105109,19020712,    0,    0
105109,19020713,    5,    0
105109,19020714,    1,    0
105109,19020715,    5,    0
105109,19020716,    5,    0
105109,19020717,    5,    0
105109,19020718,    2,    0
105109,19020719,    8,    0
105109,19020720,    8,    0
105109,19020721,    6,    0
105109,19020722,    2,    0
105109,19020723,    0,    0
105109,19020724,    5,    0
105109,19020725,    2,    0
105109,19020726,    1,    0
105109,19020727,    4,    0
105109,19020728,    1,    0
105109,19020729,    0,    0
105109,19020730,    0,    0
105109,19020731,    3,    0
105109,19020801,    8,    0
105109,19020802,    8,    0
105109,19020803,    4,    0
105109,19020804,    1,    0
105109,19020805,    7,    0
105109,19020806,    1,    0
105109,19020807,    5,    0
105109,19020808,    4,    0
105109,19020809,    1,    0
105109,19020810,    4,    0
105109,19020811,    8,    0
105109,19020812,    8,    0
105109,19020813,    5,    0
105109,19020814,    2,    0
105109,19020815,    0,    0
105109,19020816,    2,    0
105109,19020817,    5,    0
105109,19020818,    2,    0
105109,19020819,    3,    0
105109,19020820,    5,    0
105109,19020821,    5,    0
105109,19020822,    0,    0
105109,19020823,    0,    0
105109,19020824,    3,    0
105109,19020825,    8,    0
105109,19020826,    8,    0
105109,19020827,    5,    0
105109,19020828,    8,    0
105109,19020829,    6,    0
105109,19020830,    3,    0
105109,19020831,    7,    0
105109,19020901,    4,    0
105109,19020902,    4,    0
105109,19020903,    0,    0
105109,19020904,    2,    0
105109,19020905,    8,    0
105109,19020906,    5,    0
105109,19020907,    2,    0
105109,19020908,    5,    0
105109,19020909,    7,    0
105109,19020910,    4,    0
105109,19020911,    8,    0
105109,19020912,    8,    0
105109,19020913,    7,    0
105109,19020914,    0,    0
105109,19020915,    3,    0
105109,19020916,    3,    0
105109,19020917,    6,    0
105109,19020918,    3,    0
105109,19020919,    0,    0
105109,19020920,    0,    0
105109,19020921,    4,    0
105109,19020922,    5,    0
105109,19020923,    4,    0
105109,19020924,    7,    0
105109,19020925,    7,    0
105109,19020926,    5,    0
105109,19020927,    3,    0
105109,19020928,    1,    0
105109,19020929,    8,    0
105109,19020930,    8,    0
105109,19021001,    3,    0
105109,19021002,    8,    0
105109,19021003,    4,    0
105109,19021004,    8,    0
105109,19021005,    8,    0
105109,19021006,    6,    0
105109,19021007,    5,    0
105109,19021008,    8,    0
105109,19021009,    8,    0
105109,19021010,    7,    0
105109,19021011,    8,    0
105109,19021012,    5,    0
105109,19021013,    4,    0
105109,19021014,    7,    0
105109,19021015,    7,    0
105109,19021016,    8,    0
105109,19021017,    6,    0
105109,19021018,    5,    0
105109,19021019,    4,    0
105109,19021020,    7,    0
105109,19021021,    7,    0
105109,19021022,    4,    0
105109,19021023,    7,    0
105109,19021024,    5,    0
105109,19021025,    7,    0
105109,19021026,    8,    0
105109,19021027,    3,    0
105109,19021028,    5,    0
105109,19021029,    7,    0
105109,19021030,    8,    0
105109,19021031,    7,    0
105109,19021101,    8,    0
105109,19021102,    3,    0
105109,19021103,    0,    0
105109,19021104,    8,    0
105109,19021105,    8,    0
105109,19021106,    8,    0
105109,19021107,    8,    0
105109,19021108,    2,    0
105109,19021109,    8,    0
105109,19021110,    3,    0
105109,19021111,    3,    0
105109,19021112,    8,    0
105109,19021113,    8,    0
105109,19021114,    8,    0
105109,19021115,    8,    0
105109,19021116,    8,    0
105109,19021117,    8,    0
105109,19021118,    8,    0
105109,19021119,    8,    0
105109,19021120,    8,    0
105109,19021121,    8,    0
105109,19021122,    6,    0
105109,19021123,    8,    0
105109,19021124,    7,    0
105109,19021125,    8,    0
105109,19021126,    8,    0
105109,19021127,    5,    0
105109,19021128,    5,    0
105109,19021129,    7,    0
105109,19021130,    7,    0
105109,19021201,    6,    0
105109,19021202,    6,    0
105109,19021203,    6,    0
105109,19021204,    8,    0
105109,19021205,    8,    0
105109,19021206,    8,    0
105109,19021207,    8,    0
105109,19021208,    8,    0
105109,19021209,    8,    0
105109,19021210,    8,    0
105109,19021211,    8,    0
105109,19021212,    8,    0
105109,19021213,    8,    0
105109,19021214,    8,    0
105109,19021215,    8,    0
105109,19021216,    5,    0
105109,19021217,    8,    0
105109,19021218,    8,    0
105109,19021219,    8,    0
105109,19021220,    8,    0
105109,19021221,    8,    0
105109,19021222,    4,    0
105109,19021223,    8,    0
105109,19021224,    5,    0
105109,19021225,    8,    0
105109,19021226,    7,    0
105109,19021227,    4,    0
105109,19021228,    8,    0
105109,19021229,    7,    0
105109,19021230,    8,    0
105109,19021231,    3,    0
105109,19030101,    3,    0
105109,19030102,    8,    0
105109,19030103,    8,    0
105109,19030104,    8,    0
105109,19030105,    5,    0
105109,19030106,    3,    0
105109,19030107,    5,    0
105109,19030108,    4,    0
105109,19030109,    4,    0
105109,19030110,    8,    0
105109,19030111,    8,    0
105109,19030112,    8,    0
105109,19030113,    8,    0
105109,19030114,    8,    0
105109,19030115,    8,    0
105109,19030116,    8,    0
105109,19030117,    8,    0
105109,19030118,    8,    0
105109,19030119,    8,    0
105109,19030120,    7,    0
105109,19030121,    6,    0
105109,19030122,    8,    0
105109,19030123,    8,    0
105109,19030124,    1,    0
105109,19030125,    3,    0
105109,19030126,    1,    0
105109,19030127,    1,    0
105109,19030128,    0,    0
105109,19030129,    2,    0
105109,19030130,    0,    0
105109,19030131,    0,    0
105109,19030201,    8,    0
105109,19030202,    8,    0
105109,19030203,    1,    0
105109,19030204,    0,    0
105109,19030205,    0,    0
105109,19030206,    8,    0
105109,19030207,    8,    0
105109,19030208,    7,    0
105109,19030209,    4,    0
105109,19030210,    1,    0
105109,19030211,    8,    0
105109,19030212,    7,    0
105109,19030213,    2,    0
105109,19030214,    4,    0
105109,19030215,    8,    0
105109,19030216,    3,    0
105109,19030217,    0,    0
105109,19030218,    0,    0
105109,19030219,    0,    0
105109,19030220,    0,    0
105109,19030221,    3,    0
105109,19030222,    5,    0
105109,19030223,    8,    0
105109,19030224,    0,    0
105109,19030225,    4,    0
105109,19030226,    6,    0
105109,19030227,    7,    0
105109,19030228,    8,    0
105109,19030301,    3,    0
105109,19030302,    8,    0
105109,19030303,    8,    0
105109,19030304,    1,    0
105109,19030305,    6,    0
105109,19030306,    6,    0
105109,19030307,    1,    0
105109,19030308,    7,    0
105109,19030309,    5,    0
105109,19030310,    0,    0
105109,19030311,    4,    0
105109,19030312,    5,    0
105109,19030313,    0,    0
105109,19030314,    2,    0
105109,19030315,    5,    0
105109,19030316,    8,    0
105109,19030317,    1,    0
105109,19030318,    8,    0
105109,19030319,    0,    0
105109,19030320,    2,    0
105109,19030321,    0,    0
105109,19030322,    0,    0
105109,19030323,    0,    0
105109,19030324,    5,    0
105109,19030325,    0,    0
105109,19030326,    8,    0
105109,19030327,    8,    0
105109,19030328,    5,    0
105109,19030329,    5,    0
105109,19030330,    6,    0
105109,19030331,    7,    0
105109,19030401,    5,    0
105109,19030402,    8,    0
105109,19030403,    8,    0
105109,19030404,    5,    0
105109,19030405,    5,    0
105109,19030406,    1,    0
105109,19030407,    1,    0
105109,19030408,    7,    0
105109,19030409,    5,    0
105109,19030410,    2,    0
105109,19030411,    1,    0
105109,19030412,    7,    0
105109,19030413,    7,    0
105109,19030414,    3,    0
105109,19030415,    2,    0
105109,19030416,    8,    0
105109,19030417,    7,    0
105109,19030418,    4,    0
105109,19030419,    1,    0
105109,19030420,    0,    0
105109,19030421,    5,    0
105109,19030422,    8,    0
105109,19030423,    8,    0
105109,19030424,    5,    0
105109,19030425,    6,    0
105109,19030426,    7,    0
105109,19030427,    6,    0
105109,19030428,    5,    0
105109,19030429,    5,    0
