EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 05-10-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, GENEVE OBSERVATOIRE (STAID: 241).
Blended and updated with sources: 105111 105116 906700 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
105111,19030423,   83,    0
105111,19030424,   66,    0
105111,19030425,   59,    0
105111,19030426,   60,    0
105111,19030427,   72,    0
105111,19030428,   61,    0
105111,19030429,   88,    0
105111,19030430,   81,    0
105111,19030501,   83,    0
105111,19030502,   87,    0
105111,19030503,   74,    0
105111,19030504,   77,    0
105111,19030505,   58,    0
105111,19030506,   56,    0
105111,19030507,   72,    0
105111,19030508,   83,    0
105111,19030509,   74,    0
105111,19030510,   71,    0
105111,19030511,   59,    0
105111,19030512,   80,    0
105111,19030513,   63,    0
105111,19030514,   57,    0
105111,19030515,   67,    0
105111,19030516,   58,    0
105111,19030517,   61,    0
105111,19030518,   53,    0
105111,19030519,   61,    0
105111,19030520,   58,    0
105111,19030521,   59,    0
105111,19030522,   60,    0
105111,19030523,   57,    0
105111,19030524,   60,    0
105111,19030525,   68,    0
105111,19030526,   61,    0
105111,19030527,   75,    0
105111,19030528,   77,    0
105111,19030529,   70,    0
105111,19030530,   70,    0
105111,19030531,   76,    0
105111,19030601,   75,    0
105111,19030602,   65,    0
105111,19030603,   70,    0
105111,19030604,   75,    0
105111,19030605,   65,    0
105111,19030606,   58,    0
105111,19030607,   65,    0
105111,19030608,   72,    0
105111,19030609,   75,    0
105111,19030610,   79,    0
105111,19030611,   87,    0
105111,19030612,   77,    0
105111,19030613,   82,    0
105111,19030614,   69,    0
105111,19030615,   55,    0
105111,19030616,   52,    0
105111,19030617,   55,    0
105111,19030618,   75,    0
105111,19030619,   83,    0
105111,19030620,   80,    0
105111,19030621,   79,    0
105111,19030622,   71,    0
105111,19030623,   72,    0
105111,19030624,   82,    0
105111,19030625,   61,    0
105111,19030626,   54,    0
105111,19030627,   63,    0
105111,19030628,   64,    0
105111,19030629,   58,    0
105111,19030630,   87,    0
105111,19030701,   77,    0
105111,19030702,   62,    0
105111,19030703,   62,    0
105111,19030704,   67,    0
105111,19030705,   74,    0
105111,19030706,   72,    0
105111,19030707,   49,    0
105111,19030708,   51,    0
105111,19030709,   54,    0
105111,19030710,   56,    0
105111,19030711,   62,    0
105111,19030712,   65,    0
105111,19030713,   62,    0
105111,19030714,   57,    0
105111,19030715,   59,    0
105111,19030716,   57,    0
105111,19030717,   95,    0
105111,19030718,   81,    0
105111,19030719,   92,    0
105111,19030720,   70,    0
105111,19030721,   79,    0
105111,19030722,   69,    0
105111,19030723,   75,    0
105111,19030724,   66,    0
105111,19030725,   66,    0
105111,19030726,   83,    0
105111,19030727,   67,    0
105111,19030728,   64,    0
105111,19030729,   62,    0
105111,19030730,   78,    0
105111,19030731,   59,    0
105111,19030801,   66,    0
105111,19030802,   63,    0
105111,19030803,   68,    0
105111,19030804,   67,    0
105111,19030805,   57,    0
